"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4176.33 0.633998 0.663502 0.26591 0.884645
4176.67 0.639186 0.666602 0.26428 0.884502
4177.01 0.651665 0.669422 0.262421 0.88436
4177.35 0.669728 0.672203 0.260434 0.884218
4177.7 0.688627 0.675148 0.258469 0.884077
4178.04 0.703989 0.678339 0.257295 0.883936
4178.38 0.713313 0.681687 0.25614 0.883796
4178.72 0.71467 0.684967 0.255334 0.883657
4179.06 0.710663 0.68791 0.255158 0.883518
4179.4 0.710559 0.690309 0.254982 0.88338
4179.75 0.722744 0.692058 0.253104 0.883243
4180.09 0.74199 0.693184 0.250599 0.883107
4180.43 0.75548 0.693813 0.248637 0.882971
4180.77 0.754397 0.694097 0.251883 0.882837
4181.11 0.742457 0.694158 0.255192 0.882703
4181.46 0.725734 0.694093 0.258126 0.88257
4181.8 0.709087 0.693987 0.260583 0.882438
4182.14 0.696024 0.693935 0.263074 0.882307
4182.48 0.689478 0.694096 0.26423 0.882177
4182.83 0.688945 0.694683 0.265107 0.882048
4183.17 0.692494 0.695888 0.265781 0.88192
4183.51 0.698087 0.697774 0.265614 0.881793
4183.85 0.70345 0.700209 0.265447 0.881667
4184.19 0.706367 0.702818 0.265306 0.881542
4184.54 0.706191 0.705035 0.265185 0.881418
4184.88 0.703587 0.70626 0.265063 0.881296
4185.22 0.699288 0.706068 0.265841 0.881174
4185.56 0.694161 0.70434 0.266681 0.881053
4185.91 0.689108 0.701316 0.26788 0.880933
4186.25 0.6846 0.697522 0.269877 0.880815
4186.59 0.680393 0.693609 0.271897 0.880697
4186.93 0.676192 0.690146 0.273952 0.880581
4187.28 0.671843 0.687494 0.276035 0.880466
4187.62 0.667283 0.685778 0.278089 0.880352
4187.96 0.662819 0.684949 0.279276 0.880239
4188.3 0.660019 0.68487 0.280471 0.880127
4188.65 0.660667 0.685436 0.280478 0.880016
4188.99 0.665025 0.686631 0.278912 0.879907
4189.33 0.67152 0.688526 0.27736 0.879799
4189.68 0.678572 0.69122 0.27531 0.879691
4190.02 0.685311 0.694789 0.27316 0.879586
4190.36 0.691183 0.699234 0.271106 0.879481
4190.7 0.696259 0.704437 0.269392 0.879378
4191.05 0.702082 0.710132 0.267694 0.879275
4191.39 0.710312 0.715953 0.265536 0.879174
4191.73 0.72083 0.721487 0.263024 0.879075
4192.08 0.731973 0.726311 0.260548 0.878976
4192.42 0.742038 0.730062 0.259043 0.878879
4192.76 0.749385 0.732502 0.25762 0.878783
4193.1 0.752409 0.733547 0.257103 0.878689
4193.45 0.750488 0.733238 0.258624 0.878596
4193.79 0.744648 0.731698 0.26016 0.878504
4194.13 0.7361 0.729059 0.262328 0.878413
4194.48 0.726377 0.7254 0.264816 0.878324
4194.82 0.71721 0.720706 0.267286 0.878236
4195.16 0.710036 0.714889 0.268955 0.87815
4195.51 0.705289 0.707854 0.27064 0.878065
4195.85 0.703144 0.699604 0.272077 0.877981
4196.19 0.702262 0.690326 0.273184 0.877899
4196.54 0.699517 0.680441 0.274298 0.877818
4196.88 0.691968 0.670581 0.276586 0.877739
4197.22 0.678668 0.661476 0.279169 0.877661
4197.57 0.659541 0.653797 0.282393 0.877584
4197.91 0.637628 0.647977 0.288222 0.877509
4198.25 0.622998 0.644099 0.294233 0.877435
4198.6 0.625831 0.641876 0.296223 0.877363
4198.94 0.642166 0.64076 0.295155 0.877293
4199.28 0.656421 0.640139 0.294092 0.877224
4199.63 0.656301 0.639557 0.295981 0.877156
4199.97 0.646123 0.638873 0.298026 0.87709
4200.32 0.63489 0.63827 0.299883 0.877025
4200.66 0.6283 0.638147 0.301338 0.876962
4201.0 0.626963 0.638928 0.302804 0.876901
4201.35 0.6309 0.64087 0.302662 0.876841
4201.69 0.638581 0.643927 0.301888 0.876783
4202.03 0.647605 0.647811 0.300965 0.876726
4202.38 0.656083 0.652142 0.298688 0.876671
4202.72 0.663679 0.656608 0.296437 0.876617
4203.07 0.670355 0.661088 0.294221 0.876565
4203.41 0.676289 0.665702 0.292039 0.876515
4203.75 0.681888 0.670708 0.289882 0.876466
4204.1 0.687646 0.676343 0.287996 0.876419
4204.44 0.694512 0.682703 0.286166 0.876374
4204.79 0.703594 0.689691 0.284295 0.87633
4205.13 0.714426 0.697046 0.282268 0.876288
4205.47 0.723485 0.704436 0.280262 0.876248
4205.82 0.727292 0.711574 0.279192 0.87621
4206.16 0.72768 0.718268 0.278657 0.876173
4206.51 0.73023 0.724397 0.278114 0.876138
4206.85 0.738391 0.729871 0.277021 0.876104
